Recency,Frequency,Monetary,Monetary_log,Monetary_raw,Cluster,PCA1,PCA2
2,7,2509.1100000000006,7.828081855866751,3314.73,2,-90.5405948027484,1.3836062524128856
249,3,90.2,4.513054897080286,90.2,1,156.5051782219498,1.8242776759809018
19,1,999.15,6.907905267733262,999.15,2,-73.42823138560135,-4.339792904853821
310,1,294.4,5.68833037009728,294.4,1,217.52466783193853,1.0358723094511761
36,7,1130.94,7.031688253824822,1130.94,2,-56.542660922160856,1.97459973370413
204,1,29.300000000000004,3.411147712515324,29.300000000000004,0,111.5561293209375,-1.0766409486395894
232,1,682.69,6.527504598514699,682.69,1,139.53460012242658,-0.37596976509652613
214,1,219.0,5.393627546352361,219.0,0,121.54387003548014,-0.7770809597712018
246,2,1086.56,6.991691933854691,1086.56,1,153.51114367944308,0.9105261080034683
33,1,2509.1100000000006,7.828081855866751,3315.41,2,-59.43564248637622,-4.025646620704803
2,2,878.22,6.779035150783365,878.22,2,-90.44287006598898,-3.6669717869746017
58,4,2509.1100000000006,7.828081855866751,3161.58,2,-34.49556607618582,-0.5632327529187284
52,3,1843.16,7.519779168248301,1843.16,2,-40.474400099787346,-1.6911999924697003
287,1,174.9,5.169915651743512,174.9,1,194.53162215591544,0.5761179118200381
3,10,2509.1100000000006,7.828081855866751,4098.94,2,-89.59610509974408,4.3969609016939355
110,2,484.5,6.18517928773138,484.5,0,17.54039157237429,-1.6798905231845058
8,3,1106.28,7.009661836588447,1106.28,2,-84.46362775775306,-2.543410554558358
291,1,307.94,5.733147083286105,307.94,1,198.5279261208144,0.6829092281946281
4,1,138.3,4.93662988078576,138.3,2,-88.41511155753666,-4.732271348993773
51,4,2509.1100000000006,7.828081855866751,2598.66,2,-41.49427886578175,-0.6942083583160272
60,1,1300.46,7.1712419901936,1300.46,2,-32.437154924980646,-3.5577128538823257
72,3,938.34,6.84517750099741,938.34,2,-20.474531967483898,-1.3552493317223409
311,1,299.1,5.704115752446322,299.1,1,218.5244009727915,1.0554785026939033
25,1,531.73,6.278014729213508,531.73,2,-67.42602384544644,-4.263257310563141
11,2,283.3,5.650030018656954,283.3,2,-81.43859071539019,-3.562615011457611
315,2,1472.52,7.2954093752108475,1472.52,1,222.496859047216,2.2187990915509115
